GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
codera-ci-tooling-service-core,uk.co.codera.ci.tooling.template,TemplateService,0,46,0,0,0,10,0,2,0,2
codera-ci-tooling-service-core,uk.co.codera.ci.tooling.git,ConfigurableGitEventListenerFactory,0,45,0,2,0,11,0,6,0,5
codera-ci-tooling-service-core,uk.co.codera.ci.tooling.git,GitEventLogger,0,17,0,0,0,7,0,3,0,3
codera-ci-tooling-service-core,uk.co.codera.ci.tooling.git,ConfigurableGitEventListenerFactory.Builder,0,31,0,0,0,9,0,4,0,4
codera-ci-tooling-service-core,uk.co.codera.ci.tooling.git,GitEventBroadcaster,0,24,0,0,0,8,0,4,0,4
